State/UT,type of education,,,estd. No. of persons  currently attending education
,general,technical/professional (except vocational),vocational,rural +urban
(1),(2),(3),(4),(5)
Andhra Pradesh,7358,43400,14927,102801
Arunachal Pradesh,5917,43632,46810,3573
Assam,4152,41632,16736,70469
Bihar,4251,75629,36693,275733
Chhattisgarh,2993,35522,12578,63296
Delhi,19491,67537,33799,26397
Goa,8465,54798,15128,3081
Gujarat,7442,60491,22423,116193
Haryana,13905,74260,33450,60932
Himachal Pradesh,8367,78886,23534,17845
Jammu & Kashmir,7311,60699,29548,30666
Jharkhand,4543,39084,35177,89160
Karnataka,7863,59803,20811,121951
Kerala,9326,82232,19646,78057
Madhya Pradesh,4894,55192,28504,178987
Maharashtra,9292,69181,31179,226479
Manipur,10012,81152,24195,6982
Meghalaya,7037,49363,13135,8557
Mizoram,10041,59649,32665,2744
Nagaland,11501,60751,20518,5474
Odisha,4584,66159,34740,90610
Punjab,12600,69520,39139,59980
Rajasthan,6804,47822,35852,182260
Sikkim,5853,104922,29691,1539
Tamil Nadu,9773,79689,35469,154896
Telangana,9600,47788,14744,75028
Tripura,6174,51610,15861,8279
Uttar Pradesh,5074,58567,28073,541873
Uttarakhand,5893,96342,30177,23811
West Bengal,6692,58436,21104,196975
A & N Islands,8191,39897,11684,816
Chandigarh,18426,81480,29364,2092
Dadra & Nagar Haveli,7092,75212,15423,668
Daman & Diu,11926,43074,12274,440
Lakshadweep,2504,35796,3357,157
Puducherry,11436,59629,9366,2495
,,,,2831296
